"activity" "description" "subject"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "2"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
1 "walking" "4"
